Number,Value,Name
191,0.000579506,wind_gust
497,0.000578184,radiation13
504,0.000577812,pressure14
141,0.000577626,wind_direction_100m15
146,0.000577293,wind_gust15
299,0.000577244,pressure12
429,0.000576251,wind_direction6
478,0.000575915,wind_speed11
382,0.000575549,temperature2
365,0.000575042,Ahead
246,0.000574138,wind_direction_100m7
162,0.000568026,temperature17
539,0.00056364,wind_direction17
251,0.000561106,wind_gust7
211,0.000558422,wind_gust3
476,0.000555998,wind_gust11
71,0.000554228,wind_direction_100m8
262,0.000552701,radiation8
102,0.000552534,temperature11
374,0.000551117,pressure
112,0.000550889,temperature12
149,0.000548778,wind_direction15
438,0.000543742,wind_speed7
194,0.000541078,wind_direction
491,0.000538788,wind_direction_100m13
271,0.000534924,wind_gust9
291,0.000532953,wind_gust11
52,0.000532139,temperature6
484,0.000531262,pressure12
550,0.000526175,Ahead
11,0.000522578,wind_direction_100m2
341,0.000521804,wind_gust16
84,0.00052143,pressure9
364,0.000519489,wind_direction18
219,0.000519179,pressure4
30,0.000516884,wind_speed_100m4
154,0.000516251,pressure16
520,0.0005145,wind_speed_100m16
501,0.000512182,wind_direction_100m14
312,0.000511251,radiation13
346,0.000509896,wind_direction_100m17
462,0.00050457,temperature10
151,0.000501868,wind_direction_100m16
96,0.000501007,wind_gust10
261,0.000499591,wind_gust8
32,0.000498181,temperature4
0,0.000496329,wind_speed_100m
316,0.000495158,wind_direction_100m14
206,0.000493913,wind_direction_100m3
161,0.000492657,wind_direction_100m17
372,0.000492424,temperature
397,0.000492379,radiation3
510,0.00048986,wind_speed_100m15
542,0.000489045,temperature18
89,0.000488134,wind_direction9
419,0.000487659,wind_direction5
62,0.000487134,temperature7
345,0.000484689,wind_speed_100m17
489,0.000481801,wind_direction12
18,0.000481451,wind_speed2
446,0.000480715,wind_gust8
2,0.000478849,temperature
157,0.000478101,radiation16
6,0.000477737,wind_gust
233,0.000474477,wind_speed5
127,0.000473687,radiation13
193,0.000473371,wind_speed
180,0.000471109,Ahead
213,0.000469749,wind_speed3
128,0.000468768,wind_speed13
189,0.000467297,pressure
401,0.000465004,wind_direction_100m4
402,0.00046452,temperature4
490,0.000464348,wind_speed_100m13
78,0.000464131,wind_speed8
244,0.000463788,wind_direction6
526,0.000462241,wind_gust16
79,0.000461198,wind_direction8
212,0.000460802,radiation3
19,0.000460113,wind_direction2
76,0.00045671,wind_gust8
39,0.000456209,wind_direction4
398,0.000453554,wind_speed3
195,0.000452286,wind_speed_100m2
12,0.000451324,temperature2
209,0.000450363,pressure3
167,0.000448129,radiation17
451,0.000447854,wind_direction_100m9
353,0.000445605,wind_speed17
215,0.000438815,wind_speed_100m4
245,0.000438786,wind_speed_100m7
380,0.000438353,wind_speed_100m2
521,0.000437761,wind_direction_100m16
304,0.000435815,wind_direction12
119,0.00043313,wind_direction12
54,0.000432782,pressure6
538,0.000426429,wind_speed17
389,0.00042589,wind_direction2
132,0.00042515,temperature14
357,0.000424889,temperature18
256,0.000420851,wind_direction_100m8
81,0.000419016,wind_direction_100m9
239,0.000418294,pressure6
27,0.000417746,radiation3
199,0.000414653,pressure2
452,0.000414255,temperature9
3,0.000410995,air_density
295,0.000410589,wind_speed_100m12
468,0.000408625,wind_speed10
255,0.000407192,wind_speed_100m8
242,0.00040696,radiation6
387,0.000403166,radiation2
201,0.000401967,wind_gust2
293,0.000401882,wind_speed11
